ChEBI_ID	Primary_Name
CHEBI:9349	sulfonyldimethane
CHEBI:9352	sulindac
CHEBI:9355	sulfuretin
CHEBI:9380	syringin
CHEBI:9427	2-methylanthraquinone
CHEBI:10003	ribostamycin sulfate
CHEBI:10033	warfarin
CHEBI:10056	xanomeline
CHEBI:10112	zileuton
CHEBI:10983	(R)-3-hydroxybutyrate
CHEBI:4814	eprosartan
CHEBI:9230	spinosyn A
CHEBI:9307	succinimide
CHEBI:8925	ryanodine
CHEBI:9008	salicyluric acid
CHEBI:301	(-)-alpha-phellandrene
CHEBI:955	2,6-dimethoxyphenol
CHEBI:14750	acetylacetone
CHEBI:2215	6-methylergoline
CHEBI:6015	isoflurane
CHEBI:6030	isoniazide
CHEBI:6032	isonicotinic acid
CHEBI:6039	isopimaric acid
CHEBI:6062	isosorbide mononitrate
CHEBI:6123	ketanserin
CHEBI:8066	phenindione
CHEBI:8070	phenobarbital sodium
CHEBI:8080	phentermine
CHEBI:8082	phenyl acetate
CHEBI:8102	phenylmethanesulfonyl fluoride
CHEBI:5098	flucloxacillin
CHEBI:5106	flunisolide
CHEBI:5115	monofluorobenzene
CHEBI:2089	5-methoxytryptamine
CHEBI:2120	cardol
CHEBI:2181	L-fucopyranose
CHEBI:2197	6-hydroxyluteolin
CHEBI:3333	calycanthine
CHEBI:3374	capsaicin
CHEBI:3437	carteolol
CHEBI:3480	cefamandole
CHEBI:3508	ceftazidime
CHEBI:4290	1,1-dimethyl-4-phenylpiperazinium iodide
CHEBI:7853	oxyacanthine
CHEBI:5383	glimepiride
CHEBI:9107	senecionine
CHEBI:20	(+)-camphene
CHEBI:100	(-)-medicarpin
CHEBI:151	D-threo-isocitric acid
CHEBI:2038	5-azacytidine
CHEBI:2086	5-methoxy-N,N-dimethyltryptamine
CHEBI:5613	haloperidol
CHEBI:5615	halothane
CHEBI:5679	herniarin
CHEBI:6731	melezitose
CHEBI:2444	actinodaphnine
CHEBI:2512	agathisflavone
CHEBI:2555	aldicarb
CHEBI:2668	amlodipine
CHEBI:2675	amoxapine
CHEBI:3686	chrysophanol-9-anthrone
CHEBI:6456	lidocaine
CHEBI:10319	1-naphthol
CHEBI:10335	2,2':5',2''-terthiophene
CHEBI:7492	nedocromil
CHEBI:7494	nefazodone
CHEBI:11047	(S)-3-hydroxybutyrate
CHEBI:11060	(S)-carnitine
CHEBI:1784	biphenyl-4-amine
CHEBI:1800	4-chloro-2-methylphenol
CHEBI:422	(S)-lactic acid
CHEBI:479	1,2,3,4-tetrakis-O-galloyl-alpha-D-glucose
CHEBI:1883	4-hydroxystyrene
CHEBI:2710	androst-5-ene-3beta,17beta-diol
