FoodOn_ID	Sample
FOODON_00003031	Savoy cabbage
FOODON_03414363	Kiwi
FOODON_03411300	Garden onion
FOODON_00003670	Leek
FOODON_03311167	Chives
FOODON_03412953	Lemon verbena
FOODON_00003615	Cashew nut
FOODON_00003459	Pineapple
FOODON_00003034	Wild celery
FOODON_00003206	Peanut
FOODON_00003035	Burdock
FOODON_03316284	Horseradish
FOODON_03543548	Mugwort
FOODON_00003429	Oat
FOODON_00003101	Star fruit
FOODON_03411309	Common beet
FOODON_03000061	Borage
FOODON_03411092	Chinese mustard
FOODON_03411413	Swede
FOODON_03301714	Brussel sprouts
FOODON_00003447	Turnip
FOODON_00002781	Pigeon pea
FOODON_03315081	Tea
FOODON_00001681	Capers
FOODON_00003520	Pepper
FOODON_00003540	Papaya
FOODON_00003022	Caraway
FOODON_00003563	Chestnut
FOODON_00003039	Roman camomile
FOODON_03306811	Chickpea
FOODON_00002439	Endive
FOODON_00003673	Watermelon
FOODON_00003661	Lime
FOODON_03315104	Lemon
FOODON_00003656; FOODON_00003555; FOODON_00003488	Mandarin orange (Clementine, Tangerine)
FOODON_00003062	Robusta coffee
FOODON_03310370	Coriander
FOODON_00003418	Common hazelnut
FOODON_00003043	Saffron
FOODON_00003596	Muskmelon
FOODON_00003415	Cucumber
FOODON_00003724	Quince
FOODON_00004505	Wild carrot
FOODON_00003100	Black crowberry
FOODON_00003672	Loquat
FOODON_03541690	Wax apple
FOODON_03305367	Tartary buckwheat
FOODON_00003266	Fig
FOODON_00003443	Strawberry
FOODON_00003544	Black huckleberry
FOODON_03301415	Soy bean
FOODON_00002294	Sunflower
FOODON_00003107	Sea-buckthornberry
FOODON_00003109	Hyssop
FOODON_00003502	Star anise
FOODON_03000059	Swamp cabbage
FOODON_00003445	Sweet potato
FOODON_00003611	Black walnut
FOODON_03301364	Common walnut
FOODON_00001998	Lettuce
FOODON_03541053	Grass pea
FOODON_03310641	Lentils
FOODON_03000033	Garden cress
FOODON_00003683	Flaxseed
FOODON_03412262	Mexican oregano
FOODON_00003099	Lichee
FOODON_03302080	Lupine
